Polish,English
"Wystarczająco dużo sterydów, by zamknąć cię na jakiś czas.",Definitely enough steroids to put you away for a while.
- Królowa Matka postanowiła pójść na dno wraz ze statkiem.,- The Queen Mother has elected to go down with the ship.
"Myślisz, że umieszczą nas we własnej celi zamiast ze zwyczajnymi przestępcami.",You'd think they'd put us in our own cell block instead of with the common criminals.
"Wiem, że rozważasz podjęcie tej pracy, ale kocham cię, Eleno.","I know you're considering that job, but... I love you, Elena."
"Jeśli będzie dodruk, to może dadzą cytat na okładkę.","If there is a reprint, maybe they will put a quote on the cover."
Ja pojadę w przyszłym tygodniu na paszport brytyjski.,I can go next week on my British passport.
"Jeden mam od bliźniaczek, które chcą mieć z nim dzieci.",I have one from the twins who want to have his kid.
"Nie mogę obiecać, że spodoba ci się to co usłyszysz.",I can't promise you'll like what you hear.
"Mówili, że jeśli odmówię, wyślą mnie i Avę do piachu.","They said if I didn't go along, they'd put me and Ava in the ground."
"Jeśli cię to pocieszy, to mamy niespotykaną możliwość życia z kosmitą.","If it's any consolation, we have a rare opportunity to live with an alien."
"Jego organy przestaną pracować, jeśli go nie ogrzejemy.","His organs are gonna shut down if we don't warm him up soon."
"Teraz będę pośmiewiskiem szkoły, nawet nie wiem, co powiedzieć przyjaciołom.","Now I'm gonna be the school joke. I don't know what I'll say to my friends."
Politycy nigdy nie powstrzymają zjawiska wymiany plików.,Politicians can never stop the file sharing movement.
Jeśli zadzwonię na policję lub porozmawiam z kimkolwiek...,If I called the cops or talked to anybody...
"Może kiedy następnym razem będziesz w mieście, wpadniesz do nas.","How about when you next come in town, you can come visit our place."
"Dacie radę udowodnić, że to było przestępstwo nienawiści?","Will you be able to prove that it's a hate crime, though?"
"W poniedziałek, będziemy głosować na Księżniczki Jesieni.","On Monday, we'll be taking nominations for the Autumn Princesses."
"Jeśli chcesz się bawić moim umysłem, musisz się bardziej postarać.","if you're gonna play mind games, you got to try harder."
"Tak, ale powiedziałam również, że Piper już nie jest czarodziejką.","Yes, but I also said that Piper's not a witch anymore."
"Liczy się tylko fakt, że Bagwun jest w niebezpieczeństwie i musimy go ocalić.",All that matters is the Bagwun is in danger and now we must save him.
"Reaktor w Michigan i elektrownia atomowa w Waszyngtonie pracują, generale.","Michigan reactor and Washington State atomic plants on-line, general."
"Po 11 września, muzułmanie na całym świecie są postrzegani jako terroryści.","After september 11, muslims all over the world are been considered as terrorists."
A szczerze mówiąc stoję w martwym punkcie.,And to be honest I am stuck.
"Jestem taki wdzięczny. Ale on to zatuszował.","I'm so grateful. But he covered it up."
"Będą nam potrzebni, żeby dotrzeć do reszty Uśpionych.",We'll need them alive if we want them to lead us to the rest of the Sleepers.
"Hej, nienawidzę przerywać przyjęć, ale musimy pogadać.","Hey, I hate to break up the parties, but we need to talk."
"Sara powiedziała, że każdy będzie się zachowywał najlepiej jak umie.","Look, Sarah said that everybody was gonna be on their best behavior."
"Nigdy tego wcześniej nie czułem, i zastanawiałem się, czy kiedykolwiek minie?","I had never felt it before, and I wondered, will it ever go away?"
"Dan będzie tutaj tak często jak może, ale póki co zabawi dłużej w Nowym Jorku.","Dan will be here as often as he can, but unfortunately, he is going to be stuck in New York quite a bit."
"Zapukamy trzy razy i powiemy, że jesteśmy przyjaciółmi nieboszczyków.",We knock three times and say we're a friend of the deceased.
"Ale jedyne miejsce, gdzie mogę zapewnić ci bezpieczeństwo, jest tutaj.",The only place that I can keep you safe is in here.
"Ona zostanie z tobą następne pięć lat, jeśli będziesz miał szczęście.","She'll stay around for another five years, if you're lucky."
Nigdy nie pozwoliłam nikomu się dowiedzieć kim naprawdę jestem.,I've never let anyone know who I really am.
"W zastępczej lokalizacji hotelu, który chcę zbudować.",In an alternate location for the hotel I want to build.
"Interesuje nas tylko to, co dotyczy kaprala Korby'ego.",We're only interested in what happened to Corporal Korby.
"Możesz mieć zwykłego bandziora za 100$.","You could get any hoodlum for $100."
"Joey jest bardzo lojalny, ale nie masz pojęcia, ilu tam jest teraz wyznawców.","Joey is very loyal, but you have no idea how many followers are out there now."
"Gdy tylko skończą transfer, już nie będą jej potrzebować.","Once they complete the transfer, they won't need her anymore."
"Nie zrozum mnie źle, lubię cebulę, ale sporo osób nie lubi.","Don't get me wrong. I like onions, but a lot of people don't."
Członek Światowej Federacji Międzynarodowych Konkursów Muzycznych w Genewie,A member of the World Federation of International Music Competitions in Geneva
"Przyznam, że to co tutaj usłyszeliśmy, bardzo mnie zaniepokoiło.",I am very disturbed by what we have heard here today.
"Oboje wiemy, że nic się nie zdarzy, Gina, może zakończymy te gierki?","We both know nothing's going to happen, Gina, so why don't we cut the act?"
