query|response_before|response_after|reward_before|reward_after
Best margaritas in town!\n\nFood|Best margaritas in town!\n\nFood was amazing! I was going in because the atmosphere was so chill when you were there. We ordered a white, white,|Best margaritas in town!\n\nFoodPerfect! The best part about the place is that one of Les Alger stops in Santiago Viejo after a recent week of which|0.9928580522537231|0.9928376078605652
Typical Vegas, went expecting|Typical Vegas, went expecting a special one and made a huge mistake when this restaurant came to table.  It was a great atmosphere, very welcoming and|Typical Vegas, went expecting to make reservations there, seems a little small monthly fee for this area of sorts. But even if I had movement on the|0.9290289878845215|0.017011336982250214
Came with friends and|Came with friends and we decided to come to celebrate their birthday.   As usual, on top of that a port&chetta was the|"Came with friends and greet us through a ravenous drinking pleasure without any hesitation. 

We left a neighbouring ice cream based brew bar and"|0.9566580057144165|0.9615951776504517
Very nice and helpful.|Very nice and helpful.   I ordered the escargot and took it home after seeing all the reviews (after opening reviews there was a little|Very nice and helpful. I had a sweet buttersweet glass of  pure Kahlua. The cold brew was very refreshing. Great quick service!|0.9843101501464844|0.9924795627593994
Ok coffee. But very|Ok coffee. But very welcome and comparable!!Love theirago at Rangoon Bistro. My wife and I are from Chicago and love their|Ok coffee. But very neat, neither at the bar or at the lunch hour there.Slicing chocolate. Insane. Putting that up,|0.993073582649231|0.6530537605285645
Too institutional. Out of|Too institutional. Out of this world, I don't think you should become Americans.  I commend this establishment for giving the same support as Powell.|Too institutional. Out of all the places that are showing up in parks, the metropolis of New York are all dive bar, bar, and tattoo|0.04642478749155998|0.05625467002391815
Please hire more help|Please hire more help to make it go.I'm from Beverly Hills and IT was sooooo wild!  We all thought it was a pop|Please hire more help in the future as we will still need more knowledgeable staff. But of course you don't know your company in the first place|0.5644629597663879|0.00620436342433095
Cheap but not great|Cheap but not great value.I love love this restaurant. The food is ALWAYS good so even in Vancouver it's always better than you might expect|Cheap but not great. I think it'd be a good thing. Had good alternative pasta tostadas but everybody seemed highly like they were legit|0.9923478364944458|0.18193545937538147
Sit at the bar,|Sit at the bar, but their food and drinks are excellent and actually double on price depending on your bowl.  My fiancé and I love their|Sit at the bar, it will be a treat!  Get your job done.  Get your life moving.Enclosure: Vanessa was our server|0.9927451014518738|0.9346984028816223
This location has moved|This location has moved quite a bit since it opened a few years ago to accommodate Chinese customers.  We followed up with a great experience here and|This location has moved out of our stop just a few years ago and now our younger two and a half-dozen so i suppose, is to|0.9870879650115967|0.01984911598265171
Messed up my order|"Messed up my order and waited.  Every detail was just perfect. 
First time in the whole family.  I usually don't get"|"Messed up my order and bumped me away into my own father. 

Just thinking ""power cal to find customer well rested next to Homer"|0.004891655873507261|0.0027044101152569056
Check out my review|"Check out my review because, well, that makes me think, ""Oh look - the soup's pretty fancy-looking.""  Well, yeah"|Check out my review for burgers and fries. Should at least have liked them I would have thought it was convenient. Of course I should have what|0.8932910561561584|0.04071033373475075
Poor attempt at nachos.|"Poor attempt at nachos. I just wished someone was quicker and informed everything was delicious. 

The short is, they have a decent waitstaff"|"Poor attempt at nachos.

Prepint: it got ugly, but the owner is ultimately stable..

Give it to Cash or F"|0.014412841759622097|0.002496288623660803
The Phoenician is a|"The Phoenician is a must walk in but familiar with the menu :)

Service is all (speed, location and difference).
- Um,"|"The Phoenician is a celebration of the specialty craft very well.  

Drinks are good too,  but they aren't high quality"|0.7344377636909485|0.9103450179100037
Great food, great atmosphere,|Great food, great atmosphere, great service, delicious menu, and patio (compared to Chipotle and Phoenix). Courtebrate beers - there is room|Great food, great atmosphere, and very consistent.  They have funny on a story.  It was my meal at the Peachtree Trailgate in|0.9923140406608582|0.9926446676254272
It's a little loud|It's a little loud downstairs. Good food and we made a reservation so we were seated for about 15 minutes.Good place. Have avocado. I|It's a little loud but the music each concert highlights the imminent lines when you arrive with your food. You get five stars per meeting the 50's|0.9754649996757507|0.6830782294273376
Great lunch place. Fresh,|Great lunch place. Fresh, fresh, stouts treatable. What's more, we had no wait on our complimentary pizza. I had an alternative:|Great lunch place. Fresh, friendly and sexy, with what you will get when you visit legit expecty drialyside like older cuufts that|0.9920470714569092|0.9901832938194275
