query|response_before|response_after|reward_before|reward_after
A szczerze mówiąc stoję w martwym punkcie.|And frankly, I'm at a dead end.|And to be honest, I'm at a dead end.|0.03846153989434242|0.23942668735980988
Wygląda na to że znalazłeś mi dobrego rozgrywającego na czwartą kwartę.|Looks like you found me a good quarterback for the fourth quarter.|Looks like you found me a good quarterback for the fourth quarter.|0.7197864055633545|0.7197864055633545
Jego organy przestaną pracować, jeśli go nie ogrzejemy.|His organs will stop working if we don't keep him warm.|His organs will stop working if we don't keep him warm.|0.1666666716337204|0.1666666716337204
Panowie, jestem pewny, że znaleźliśmy to, czego szukacie.|Gentlemen, I'm sure we found what you're looking for.|Gentlemen, I'm sure we found what you're looking for.|0.8213070631027222|0.8213070631027222
To ma sens, toksyny są przenoszone przez wiatr, osadzają się na roślinach.|Makes sense. The toxins are transmitted by the wind. They're embedded on plants.|It makes sense, the toxins are transmitted by the wind, embedded on the plants.|0.125|0.5012165904045105
I tego nie zrobiłem, ale zbyt łatwo mógłbym to zrobić.|And I didn't do it, but I could do it too easily.|And I didn't, but I could do it too easily.|0.5795454382896423|0.19230769574642181
Zapukamy trzy razy i powiemy, że jesteśmy przyjaciółmi nieboszczyków.|We knock three times and say we're friends of the dead.|We'll knock three times and say we're friends of the dead.|0.590958297252655|0.4889814853668213
Może kiedy następnym razem będziesz w mieście, wpadniesz do nas.|Maybe next time you're in town, you can come over.|Maybe the next time you're in town, you'll come over.|0.34812435507774353|0.1111111119389534
Nie zrozum mnie źle, lubię cebulę, ale sporo osób nie lubi.|Don't get me wrong, I like onions, but a lot of people don't like onions.|Don't get me wrong, I like onions, but a lot of people don't like onions.|0.6764689087867737|0.6764689087867737
Po prostu jestem otwartym człowiekiem i lubię łączyć się z ludźmi.|I'm just an open man and I like to connect with people.|I'm just an open man, and I like to connect with people.|0.5001308917999268|0.5401691198348999
Nasza jedyna trasa wiedzie przez podzielone terytorium.|Our only route leads through divided territory.|Our only route leads through divided territory.|0.3333333432674408|0.3333333432674408
Możesz mieć zwykłego bandziora za 100$.|You can have a regular hoodlum for $100.|You could have an ordinary thug for 100 bucks.|0.38738498091697693|0.11538461595773697
Ciężko było patrzeć na Bay, nie wiedząc i nie będąc w stanie nijak jej pomóc.|It was hard to look at Bay without knowing and not being able to help her.|It was hard to look at Bay without knowing and not being able to help her.|0.5290079712867737|0.5290079712867737
Nigdy nie pozwoliłam nikomu się dowiedzieć kim naprawdę jestem.|I never let anyone know who I really am.|I never let anyone know who I really am.|0.8845003247261047|0.8845003247261047
Państwo Członkowskie, na terytorium którego przestępstwa zostały popełnione;|the Member State in whose territory the offences have been committed;|the Member State in whose territory the offences have been committed;|0.5770039558410645|0.5770039558410645
Jestem taki wdzięczny. Ale on to zatuszował.|I'm so grateful, but he covered it up.|I'm so grateful, but he covered it up.|0.5626909732818604|0.5626909732818604
Jak przegrasz, to będzie koniec dla nas wszystkich.|If you lose, it'll be over for all of us.|If you lose, it'll be over for all of us.|0.6806596517562866|0.6806596517562866
Liczy się tylko fakt, że Bagwun jest w niebezpieczeństwie i musimy go ocalić.|The only thing that matters is that Bagwun is in danger and we have to save him.|The only thing that matters is that Bagwun is in danger and we have to save him.|0.43222326040267944|0.43222326040267944
Ale jedyne miejsce, gdzie mogę zapewnić ci bezpieczeństwo, jest tutaj.|But the only place I can keep you safe is here.|But the only place I can keep you safe is here.|0.5586448907852173|0.5586448907852173
Mówili, że jeśli odmówię, wyślą mnie i Avę do piachu.|They said if I refused, they'd send me and Ava to the ground.|They said if I said no, they'd send me and Ava to the ground.|0.4217606782913208|0.4216042160987854
Chloe wciąż jest trzeźwa, wciąż pracuje jako rzeczoznawca.|Chloe's still sober, still working as an assessor.|Chloe's still sober, still working as an assessor.|0.38661253452301025|0.38661253452301025
Będzie miał szczęście jeśli będzie mógł go widywać raz na rok.|He'll be lucky to see him once a year.|He'll be lucky if he can see him once a year.|0.38285550475120544|0.4765932559967041
Ja pojadę w przyszłym tygodniu na paszport brytyjski.|I'll go to the British passport next week.|I'll go next week for a British passport.|0.1071428582072258|0.2083333283662796
W tamtej chwili było nas sześcioro. Ta część to prawda.|There were six of us at the time.|There were six of us at the time.|0.19492776691913605|0.19492776691913605
Dobre maniery w tej Izbie nakazywałyby odpowiedzieć na moje pytanie.|Good manners in this House would order me to answer my question.|Good manners in this House would have asked me to answer my question.|0.0476190485060215|0.0714285746216774
I znajdzie pan sposób by upewnić się że CIA zostawi Olega Burov'a w spokoju.|And you'll find a way to make sure the CIA leaves Oleg Burov alone.|And you'll find a way to make sure the CIA leaves Oleg Burov alone.|0.8116246461868286|0.8116246461868286
Może kiedyś sprawy potoczą się inaczej... i świat się zmieni.|Maybe someday things will turn out differently... and the world will change.|Maybe someday things will turn out differently... and the world will change.|0.6446446776390076|0.6446446776390076
Reaktor w Michigan i elektrownia atomowa w Waszyngtonie pracują, generale.|The reactor in Michigan and the nuclear power plant in Washington are working, General.|The reactor in Michigan and the nuclear power plant in Washington are working, General.|0.1111111119389534|0.1111111119389534
Teraz będę pośmiewiskiem szkoły, nawet nie wiem, co powiedzieć przyjaciołom.|Now I'm gonna be the laughingstock of the school. I don't even know what to say to my friends.|Now I'll be the laughingstock of the school, I don't even know what to say to my friends.|0.5449206233024597|0.43785929679870605
Próbowałam naprawić coś czego nie miałam prawa naprawiać.|I was trying to fix something I didn't have the right to fix.|I was trying to fix something I didn't have the right to fix.|0.44618886709213257|0.44618886709213257
Jeśli chcesz się bawić moim umysłem, musisz się bardziej postarać.|If you want to play with my mind, you have to do better than that.|If you want to play with my mind, you got to do better than that.|0.0714285746216774|0.18233515322208405
Często mówi się, że obawiamy się tego, czego nie znamy.|It is often said that we are afraid of what we do not know.|It's often said that we're afraid of what we don't know.|0.585141122341156|0.14705882966518402
Należał do Gwardii Narodowej, został zabity podczas akcji... w dniu przyjazdu.|He belonged to the National Guard, was killed during the action... on the day of arrival.|He belonged to the National Guard. He was killed during the action... on the day of his arrival.|0.3778160512447357|0.29407477378845215
Pewnie słyszał pan o sprawie Gabby Stone.|You've probably heard of the Gabby Stone case.|You've probably heard of the Gabby Stone case.|0.10000000149011612|0.10000000149011612
Dobra, co jeśli to, co powiedział nam Victor Stokes było prawdą|Okay, what if what Victor Stokes told us was true?|Okay, what if what Victor Stokes told us was true?|0.8518009781837463|0.8518009781837463
Eros wykradł ją potajemnie do sekretnego pałacu.|Eros stole it secretly to a secret palace.|Eros stole it secretly to a secret palace.|0.5566725134849548|0.5566725134849548
Twoje problemy z czynszem... znając Michę, zasugeruje, żebyś się tu zatrzymała.|Your rent problems... knowing Micha, I suggest you stay here.|Your rent problems... knowing Micha, I suggest you stay here.|0.3038206696510315|0.3038206696510315
Do tego przy krwotoku wewnętrznym nie możemy dłużej czekać, inaczej umrze.|Plus, with internal bleeding, we can't wait any longer, or he'll die.|Plus, with internal hemorrhaging, we can't wait any longer, or he's gonna die.|0.26840174198150635|0.29915651679039
Chciałam tylko, żeby David wiedział, że nadal ma nasze poparcie.|I just wanted David to know that he still has our support.|I just wanted David to know that he still had our support.|0.83891361951828|0.6479355692863464
Jeśli cię to pocieszy, to mamy niespotykaną możliwość życia z kosmitą.|If it makes you feel any better, we have an unprecedented opportunity to live with an alien.|If it makes you feel any better, we have an unprecedented opportunity to live with an alien.|0.44835442304611206|0.44835442304611206
Ricardo Klement to nie kto inny, tylko Adolf Eichmann.|Ricardo Klement isn't anyone else, he's Adolf Eichmann.|Ricardo Klement isn't someone else, it's Adolf Eichmann.|0.1666666716337204|0.1666666716337204
Tak, ale powiedziałam również, że Piper już nie jest czarodziejką.|Yeah, but I also said Piper's not a witch anymore.|Yeah, but I also said that Piper isn't a sorcerer anymore.|0.7130652070045471|0.45374491810798645
Zasada pracy jest podobna jak w przypadku drukarek atramentowych.|The working principle is similar to that of inkjet printers.|The working principle is similar to that of inkjet printers.|0.5888311266899109|0.5888311266899109
Jeśli zadzwonię na policję lub porozmawiam z kimkolwiek...|If I call the police or talk to anyone...|If I call the police or talk to anyone...|0.19230769574642181|0.19230769574642181
Joey jest bardzo lojalny, ale nie masz pojęcia, ilu tam jest teraz wyznawców.|Joey is very loyal, but you have no idea how many followers there are now.|Joey's very loyal, but you have no idea how many followers there are now.|0.8495285511016846|0.7010049223899841
Siła umysłu nie jest moją mocną stroną. Ja to wiem.|The strength of my mind isn't my strong suit.|The power of the mind is not my strong suit.|0.06666667014360428|0.09375
Następne płatności dokonywane są zgodnie z zasadami przewidzianymi w art. 10.|Subsequent payments shall be made in accordance with the rules laid down in Article 10.|The subsequent payments shall be made in accordance with the rules provided for in Article 10.|0.7473909854888916|0.8413698673248291
Jeżeli będziesz czegoś potrzebował, użyj dzwoneczka.|If you need anything, use the bell.|If you need anything, use the bell.|0.7720242142677307|0.7720242142677307
To nie chwila, która chciałem, żeby trwała wiecznie!|This isn't the moment I wanted it to last forever!|This isn't the moment I wanted it to last forever!|0.8008439540863037|0.8008439540863037
Coś mi mówi, że w swoich modlitwach prosisz o więcej.|Something tells me you're asking for more in your prayers.|Something tells me that in your prayers you ask for more.|0.1428571492433548|0.1785714328289032
Interesuje nas tylko to, co dotyczy kaprala Korby'ego.|We're only interested in what's going on with Corporal Korby.|We're only interested in what happened to Corporal Korby.|0.4004318118095398|1.0
Jeśli miałaby zamiar coś zrobić, zrobiłaby to ostatniej nocy.|If she was gonna do something, she would have done it last night.|If she was gonna do something, she would have done it last night.|0.5801122784614563|0.5801122784614563
W Biblii jest słowo Hebrajskie którego nigdy nie widziałem nigdzie indziej.|There's a Hebrew word in the Bible I've never seen anywhere else.|There's a Hebrew word in the Bible I've never seen anywhere else.|0.6204630732536316|0.6204630732536316
Ona zostanie z tobą następne pięć lat, jeśli będziesz miał szczęście.|She'll stay with you for the next five years if you're lucky.|She'll stay with you for the next five years if you're lucky.|0.36788877844810486|0.36788877844810486
Wiesz, kochana... wiedziałem, że to się kiedyś zdarzy.|You know, darling... I knew this would happen someday.|You know, darling... I knew it would happen someday.|0.369627445936203|0.2879584729671478
Wprawimy to w ruch i będziemy spodziewać się sukcesu|We're gonna get this thing moving, and we're gonna expect success.|We're gonna get it moving, and we're gonna expect success.|0.02777777798473835|0.0625
Pytanie brzmi ile bólu będzie trzeba ci zadać, zanim się zgodzisz.|The question is how much pain you're gonna have to ask before you say yes.|The question is, how much pain you're gonna have to ask before you say yes.|0.37449905276298523|0.1666666716337204
Jedno na dwa młode nie przeżyją pierwszego roku na tym lodzie.|One in two cubs won't survive their first year on this ice.|One for two cubs won't survive the first year on this ice.|0.45411279797554016|0.3515574038028717
Możemy dziękować Bogu, że nie było większej tragedii.|We can thank God that there was no greater tragedy.|We can thank God that there was no greater tragedy.|0.2726839482784271|0.2726839482784271
Twoje usta śpiewały piosenki o tej szalonej miłości|Your lips were singing songs about that crazy love.|Your lips sang songs about this crazy love.|0.1428571492433548|0.27272728085517883
Mając poczucie, że jesteś częścią czegoś, co ma znaczenie.|With the feeling that you're part of something that matters.|With the feeling that you're part of something that matters.|0.37575843930244446|0.37575843930244446
Jeden mam od bliźniaczek, które chcą mieć z nim dzieci.|I got one from the twins who want to have kids with him.|I've got one from the twins who want to have children with him.|0.5718713998794556|0.5148037672042847
Sara powiedziała, że każdy będzie się zachowywał najlepiej jak umie.|Sara said everyone would behave as best they could.|Sara said that everyone would behave as best as they could.|0.05263157933950424|0.07894736528396606
Elita Korpusu telepatów, mają kategorię P12, najsilniejsi jakich mamy.|The elite of the Telepath Corps, they're in category P12, the strongest we've got.|The elite of the Telepath Corps, they're the category P12, the strongest we've got.|0.3092798888683319|0.318051815032959
Lub mógłbym udzielić ci prywatnych zajęć na boku.|Or I could give you a private class on the side.|Or I could give you private lessons on the side.|0.6187772750854492|0.8258525133132935
Co powiesz na wyjście na skrzydło i udawanie, że jesteś gremlinem?|What do you say we go out on the wing and pretend you're a gremlin?|What do you say we go out on the wing and pretend you're a gremlin?|0.7798821926116943|0.7798821926116943
Po prostu chcę się dowiedzieć czy wszystko z nią w porządku.|I just want to know if she's okay.|I just want to know if she's okay.|0.43777769804000854|0.43777769804000854
I być może jak oni z panem skończą... to pan dostanie pracę przy odkurzaniu.|And maybe when they're done with you... you'll get a job vacuuming.|And maybe when they're done with you... you'll get a job vacuuming.|0.6165374517440796|0.6165374517440796
Członek Światowej Federacji Międzynarodowych Konkursów Muzycznych w Genewie|Member of the World Federation of International Music Competitions in Geneva|Member of the World Federation of International Music Competitions in Geneva|0.7827697992324829|0.7827697992324829
- Królowa Matka postanowiła pójść na dno wraz ze statkiem.|- The Queen Mother decided to go down with the ship.|- The Queen Mother has decided to go down with the ship.|0.7226806282997131|0.8036572337150574
Oboje mnie dręczyli, gdy byłam w wieku Eve, ale wsypałam tylko Dave'a.|They both bullied me when I was Eve's age, but I only ratted on Dave.|They both bullied me when I was Eve's age, but I only rat on Dave.|0.5011011362075806|0.5011011362075806
"Znaki kanji mówiące ""katastrofa, narzędzie i dusza."""|"Kanji signs saying ""crastrophe, tool and soul."""|"Kanji signs saying ""catastrophe, tool and soul."""|0.07692307978868484|0.07692307978868484
Oboje wiemy, że nic się nie zdarzy, Gina, może zakończymy te gierki?|We both know nothing's gonna happen, Gina, why don't we stop playing games?|We both know nothing's gonna happen, Gina, why don't we stop playing these games?|0.40673699975013733|0.39474382996559143
Dlaczego nikt mi nie wierzy, nawet wtedy, gdy mówię prawdę?|Why doesn't anyone believe me even when I'm telling the truth?|Why doesn't anybody believe me, even when I'm telling the truth?|0.4812219738960266|0.40916919708251953
